Timesteps, Cutstate
0, 20665
1, 20494
2, 20484
3, 20474
4, 20465
5, 20458
6, 20451
7, 20445
8, 20439
9, 20433
10, 20427
11, 20421
12, 20415
13, 20409
14, 20403
15, 20398
16, 20393
17, 20388
18, 20383
19, 20378
20, 20373
21, 20368
22, 20363
23, 20358
24, 20353
25, 20348
26, 20343
27, 20338
28, 20333
29, 20328
30, 20323
31, 20318
32, 20313
33, 20306
34, 20302
35, 20298
36, 20294
37, 20290
38, 20286
39, 20282
40, 20278
41, 20274
42, 20270
43, 20266
44, 20262
45, 20258
46, 20254
47, 20250
48, 20246
49, 20242
50, 20238
51, 20234
52, 20230
53, 20226
54, 20222
55, 20218
56, 20214
57, 20210
58, 20206
59, 20202
60, 20198
61, 20194
62, 20190
63, 20186
64, 20182
65, 20178
66, 20174
67, 20170
68, 20166
69, 20162
70, 20158
71, 20154
72, 20150
73, 20146
74, 20142
75, 20138
76, 20134
77, 20130
78, 20126
79, 20122
80, 20118
81, 20114
82, 20110
83, 20106
84, 20102
85, 20098
86, 20094
87, 20090
88, 20086
89, 20082
90, 20078
91, 20074
92, 20070
93, 20066
94, 20056
95, 20047
96, 20043
97, 20042
98, 20038
99, 20034
100, 20030
101, 20026
102, 20022
103, 20018
104, 20014
105, 20010
106, 20006
107, 20002
108, 19998
109, 19994
110, 19990
111, 19986
112, 19982
113, 19978
114, 19974
115, 19970
116, 19966
117, 19962
118, 19958
119, 19955
120, 19953
121, 19950
122, 19945
123, 19941
124, 19937
125, 19934
126, 19931
127, 19928
128, 19925
129, 19922
130, 19919
131, 19916
132, 19913
133, 19910
134, 19907
135, 19904
136, 19900
137, 19897
138, 19894
139, 19891
140, 19888
141, 19885
142, 19882
143, 19879
144, 19876
145, 19873
146, 19870
147, 19867
148, 19864
149, 19861
150, 19858
151, 19855
152, 19852
153, 19849
154, 19846
155, 19843
156, 19840
157, 19837
158, 19834
159, 19831
160, 19828
161, 19825
162, 19822
163, 19819
164, 19816
165, 19813
166, 19810
167, 19807
168, 19804
169, 19801
170, 19798
171, 19795
172, 19792
173, 19789
174, 19786
175, 19783
176, 19780
177, 19777
178, 19774
179, 19771
180, 19768
181, 19765
182, 19762
183, 19759
184, 19756
185, 19753
186, 19750
187, 19747
188, 19744
189, 19741
190, 19738
191, 19735
192, 19732
193, 19729
194, 19726
195, 19723
196, 19720
197, 19717
198, 19714
199, 19711
200, 19708
201, 19705
202, 19702
203, 19699
204, 19696
205, 19693
206, 19690
207, 19687
208, 19684
209, 19681
210, 19678
211, 19675
212, 19672
213, 19669
214, 19666
215, 19663
216, 19660
217, 19657
